hs6,hscode10,류,호,소호,세번10단위품명,신성질별 분류명
20714,207142010,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단육과 설육(屑肉)(냉동한 것으로 한정한다),간,닭 설육
20714,207142090,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단육과 설육(屑肉)(냉동한 것으로 한정한다),기타,닭 설육
20714,207141090,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단육과 설육(屑肉)(냉동한 것으로 한정한다),기타,닭고기
20714,207141010,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단육과 설육(屑肉)(냉동한 것으로 한정한다),다리,닭고기
20714,207141030,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단육과 설육(屑肉)(냉동한 것으로 한정한다),날개,닭고기
20714,207141020,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단육과 설육(屑肉)(냉동한 것으로 한정한다),가슴,닭고기
20724,207240000,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),기타 육류
20725,207250000,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단하지 않은 육(냉동한 것으로 한정한다),절단하지 않은 육(냉동한 것으로 한정한다),기타 육류
20726,207261000,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단육과 설육(屑肉)(신선한 것이나 냉장한 것으로 한정한다),절단육,기타 육류
20726,207262010,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단육과 설육(屑肉)(신선한 것이나 냉장한 것으로 한정한다),간,기타 설육
20726,207262090,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단육과 설육(屑肉)(신선한 것이나 냉장한 것으로 한정한다),기타,기타 설육
20727,207272090,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단육과 설육(屑肉)(냉동한 것으로 한정한다),기타,기타 설육
20727,207272010,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단육과 설육(屑肉)(냉동한 것으로 한정한다),간,기타 설육
20727,207271000,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단육과 설육(屑肉)(냉동한 것으로 한정한다),절단육,기타 육류
20741,207410000,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),오리고기
20742,207420000,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단하지 않은 육(냉동한 것으로 한정한다),절단하지 않은 육(냉동한 것으로 한정한다),오리고기
20743,207430000,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",지방간(신선한 것이나 냉장한 것으로 한정한다),지방간(신선한 것이나 냉장한 것으로 한정한다),오리고기
20744,207441000,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타(신선한 것이나 냉장한 것으로 한정한다),절단육,오리고기
20744,207442090,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타(신선한 것이나 냉장한 것으로 한정한다),기타,오리 설육
20744,207442010,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타(신선한 것이나 냉장한 것으로 한정한다),간,오리 설육
20745,207452090,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타(냉동한 것으로 한정한다),기타,오리 설육
20745,207452010,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타(냉동한 것으로 한정한다),간,오리 설육
20745,207451000,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타(냉동한 것으로 한정한다),절단육,오리고기
20751,207510000,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),오리고기
20752,207520000,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단하지 않은 육(냉동한 것으로 한정한다),절단하지 않은 육(냉동한 것으로 한정한다),오리고기
20753,207530000,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",지방간(신선한 것이나 냉장한 것으로 한정한다),지방간(신선한 것이나 냉장한 것으로 한정한다),오리고기
20754,207542010,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타(신선한 것이나 냉장한 것으로 한정한다),간,오리 설육
20754,207542090,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타(신선한 것이나 냉장한 것으로 한정한다),기타,오리 설육
